distance_cm,sample_id,line_1,line_2,line_3,center_avg
3,45,10,8,9,9
3,46,9,9,9,9
3,47,10,9,9,9
3,48,10,8,9,9
3,49,10,8,9,9
4,0,5,4,5,4
4,1,5,4,5,4
4,2,5,4,5,4
4,3,6,4,5,5
4,4,5,4,5,4
4,5,5,4,4,4
4,6,5,4,4,4
4,7,6,4,5,5
4,8,6,4,4,4
4,9,5,4,5,4
4,10,5,4,5,4
4,11,6,4,5,5
4,12,5,4,5,4
4,13,6,4,5,5
4,14,5,4,5,4
4,15,6,4,5,5
4,16,5,4,5,4
4,17,5,4,5,4
4,18,5,4,4,4
4,19,5,4,5,4
4,20,5,4,4,4
4,21,5,4,4,4
4,22,5,4,4,4
4,23,5,4,4,4
4,24,6,4,4,4
4,25,6,4,5,5
4,26,5,4,5,4
4,27,5,4,5,4
4,28,5,4,5,4
4,29,6,4,5,5
4,30,6,4,5,5
4,31,5,3,5,4
4,32,6,4,5,5
4,33,6,4,5,5
4,34,6,4,5,5
4,35,6,4,5,5
4,36,5,4,5,4
4,37,5,4,5,4
4,38,5,4,5,4
4,39,5,4,5,4
4,40,5,4,5,4
4,41,5,4,5,4
4,42,5,4,4,4
4,43,5,4,5,4
4,44,6,4,5,5
4,45,5,4,5,4
4,46,6,4,5,5
4,47,5,4,5,4
4,48,6,4,5,5
4,49,6,4,5,5
5,0,2,0,1,1
5,1,2,1,2,1
5,2,2,1,2,1
5,3,2,1,1,1
5,4,2,1,1,1
5,5,2,1,1,1
5,6,2,1,1,1
5,7,2,1,1,1
5,8,2,1,1,1
5,9,2,1,1,1
5,10,2,1,1,1
5,11,2,1,1,1
5,12,2,1,1,1
5,13,2,0,1,1
5,14,2,0,2,1
5,15,2,0,1,1
5,16,2,1,1,1
5,17,2,1,1,1
5,18,2,1,1,1
5,19,2,1,2,1
5,20,1,1,1,1
5,21,2,1,1,1
5,22,2,1,1,1
5,23,2,1,1,1
5,24,2,1,1,1
5,25,2,1,1,1
5,26,2,1,1,1
5,27,2,1,2,1
5,28,2,1,1,1
5,29,2,1,1,1
5,30,2,0,1,1
5,31,2,0,2,1
5,32,2,0,1,1
5,33,2,0,2,1
5,34,2,1,1,1
5,35,2,0,2,1
5,36,2,0,1,1
5,37,2,1,1,1
5,38,2,1,1,1
5,39,2,1,1,1
5,40,2,1,1,1
5,41,2,1,1,1
5,42,1,1,1,1
5,43,2,1,1,1
5,44,2,1,1,1
5,45,2,1,1,1
5,46,2,1,1,1
5,47,2,0,1,1
5,48,2,1,1,1
5,49,2,0,2,1
6,0,1,0,0,0
6,1,1,0,0,0
6,2,1,0,0,0
6,3,1,0,0,0
6,4,1,0,0,0
6,5,1,0,0,0
6,6,1,0,0,0
6,7,1,0,0,0
6,8,1,0,0,0
6,9,1,0,1,0
6,10,1,0,0,0
6,11,1,0,0,0
6,12,1,0,0,0
6,13,1,0,0,0
6,14,1,0,0,0
6,15,1,0,0,0
6,16,1,0,0,0
6,17,1,0,0,0
6,18,1,0,0,0
6,19,1,0,0,0
6,20,1,0,0,0
6,21,0,0,0,0
6,22,0,0,0,0
6,23,1,0,0,0
6,24,0,0,0,0
6,25,0,0,0,0
6,26,0,0,0,0
6,27,1,0,0,0
6,28,1,0,0,0
6,29,1,0,0,0
6,30,1,0,0,0
6,31,1,0,0,0
6,32,1,0,0,0
6,33,1,0,0,0
6,34,1,0,0,0
6,35,1,0,0,0
6,36,1,0,0,0
6,37,1,0,0,0
6,38,1,0,0,0
6,39,1,0,0,0
6,40,1,0,1,0
6,41,1,0,0,0
6,42,1,0,0,0
6,43,1,0,0,0
6,44,1,0,0,0
6,45,1,0,0,0
6,46,1,0,0,0
6,47,0,0,0,0
6,48,0,0,0,0
6,49,0,0,0,0
7,0,0,0,0,0
7,1,0,0,0,0
7,2,0,0,0,0
7,3,0,0,0,0
7,4,0,0,0,0
7,5,0,0,0,0
7,6,0,0,0,0
7,7,0,0,0,0
7,8,0,0,0,0
7,9,0,0,0,0
7,10,0,0,0,0
7,11,0,0,0,0
7,12,0,0,0,0
7,13,0,0,0,0
7,14,0,0,0,0
7,15,0,0,0,0
7,16,0,0,0,0
7,17,0,0,0,0
7,18,0,0,0,0
7,19,0,0,0,0
7,20,0,0,0,0
7,21,0,0,0,0
7,22,0,0,0,0
7,23,0,0,0,0
7,24,0,0,0,0
7,25,0,0,0,0
7,26,0,0,0,0
7,27,0,0,0,0
7,28,0,0,0,0
7,29,0,0,0,0
7,30,0,0,0,0
7,31,0,0,0,0
7,32,0,0,0,0
7,33,0,0,0,0
7,34,0,0,0,0
7,35,0,0,0,0
7,36,0,0,0,0
7,37,0,0,0,0
7,38,0,0,0,0
7,39,0,0,0,0
7,40,0,0,0,0
7,41,0,0,0,0
7,42,0,0,0,0
7,43,0,0,0,0
7,44,0,0,0,0
7,45,0,0,0,0
7,46,0,0,0,0
7,47,0,0,0,0
7,48,0,0,0,0
7,49,0,0,0,0
